,Año,Semana,Finca,Cajas,Bolsas,Cajas por Hectarea
405,2024,10,Pedrito,80,91.6,1.9157088122605366
406,2024,10,San Pedro,57,109.68,1.4067127344521222
407,2024,11,Pedrito,92,0,2.203065134099617
408,2024,11,San Pedro,129,233.6696,3.1836130306021717
409,2024,11,Uveros,11,0,1.375
410,2024,12,Pedrito,148,0,3.5440613026819925
411,2024,12,San Pedro,174,0,4.294175715695952
412,2024,12,Uveros,0,0,0.0
413,2024,13,Pedrito,119,0,2.849616858237548
414,2024,13,San Pedro,155,171.846,3.825271470878578
415,2024,13,Uveros,17,0,2.125
416,2024,14,Damaquiel,3,0,0.22288261515601782
417,2024,14,Pedrito,83,0,1.9875478927203065
418,2024,14,San Pedro,180,0,4.4422507403751235
419,2024,14,Uveros,10,0,1.25
420,2024,15,Pedrito,88,0,2.10727969348659
421,2024,15,San Pedro,101,0,2.4925962487660414
422,2024,16,Pedrito,113,0,2.705938697318008
423,2024,16,San Pedro,200,0,4.935834155972358
424,2024,16,Uveros,30,0,3.75
425,2024,17,San Pedro,89,0,2.1964461994076996
